               v        c11s        c22s        c33s       c12s       c13s       c23s       c44s       c55s       c66s        bm_V        bm_R      bm_VRH        G_V        G_R      G_VRH       v_p       v_s
10.2  160.636603  227.556859  227.558003  215.667168  78.658091  83.924017  83.924136   6.882995   6.882787  74.734609  129.310502  129.286602  129.298552  45.985131  15.036916  30.511023  7.703142  3.263613
10.4  160.410281  227.072168  227.073319  217.200907  78.007120  85.267738  85.267861   6.558545   6.558328  74.787222  129.825759  129.822486  129.824122  45.767731  14.408949  30.088340  7.696854  3.238648
10.6  160.186444  226.569529  226.570687  218.707756  77.340364  86.609227  86.609355   6.230614   6.230387  74.837989  130.329540  130.328950  130.329245  45.545733  13.767070  29.656402  7.689880  3.213074
10.8  159.965035  226.049426  226.050590  220.188111  76.658248  87.948483  87.948616   5.899301   5.899065  74.886958  130.822091  130.805695  130.813893  45.319250  13.111137  29.215194  7.682218  3.186874
11.0  159.745998  225.512342  225.513510  221.642366  75.961198  89.285505  89.285643   5.564708   5.564462  74.934179  131.303657  131.252422  131.278039  45.088395  12.441011  28.764703  7.673867  3.160033
11.2  159.529234  224.959150  224.960321  223.071650  75.249981  90.620290  90.620433   5.227019   5.226763  74.979742  131.774725  131.669991  131.722358  44.853399  11.757099  28.305249  7.664857  3.132583
11.4  159.314737  224.389873  224.391047  224.475495  74.524624  91.952839  91.952987   4.886238   4.885973  75.023647  132.235257  132.056741  132.145999  44.614236  11.058617  27.836427  7.655150  3.104454
11.6  159.102461  223.804900  223.806075  225.854117  73.785469  93.283153  93.283306   4.542447   4.542171  75.065934  132.685439  132.412091  132.548765  44.370988  10.345292  27.358140  7.644737  3.075620
11.8  158.892359  223.204627  223.205803  227.207749  73.032868  94.611231  94.611389   4.195728   4.195442  75.106641  133.125462  132.735487  132.930474  44.123742   9.616861  26.870301  7.633611  3.046056
12.0  158.684384  222.589450  222.590627  228.536623  72.267173  95.937071  95.937235   3.846165   3.845869  75.145809  133.555517  133.026375  133.290946  43.872583   8.873065  26.372824  7.621763  3.015737
